0/2023,6:48:58,1,8,Hell's Kitchen,75,3.5,Bakery,Pastry,Croissant
148483,6/30/2023,7:43:01,2,8,Hell's Kitchen,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
148484,6/30/2023,7:43:01,1,8,Hell's Kitchen,79,3.75,Bakery,Scone,Jumbo Savory Scone
148485,6/30/2023,7:43:27,2,3,Astoria,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm
148486,6/30/2023,7:44:25,1,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
148487,6/30/2023,7:44:28,2,5,Lower Manhattan,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg
148488,6/30/2023,7:44:37,2,5,Lower Manhattan,40,3.75,Coffee,Barista Espresso,Cappuccino
148489,6/30/2023,7:44:37,2,5,Lower Manhattan,63,0.8,Flavours,Regular syrup,Carmel syrup
148490,6/30/2023,7:44:43,2,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg
148491,6/30/2023,7:44:43,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti
148492,6/30/2023,7:45:02,2,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
148493,6/30/2023,7:46:06,1,3,Astoria,37,3,Coffee,Barista Espresso,Espresso shot
148494,6/30/2023,7:47:18,2,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
148495,6/30/2023,7:47:18,1,3,Astoria,71,3.75,Bakery,Pastry,Chocolate Croissant
148496,6/30/2023,7:49:17,1,8,Hell's Kitchen,87,3,Coffee,Barista Espresso,Ouro Brasileiro shot
148497,6/30/2023,7:49:34,1,5,Lower Manhattan,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
148498,6/30/2023,7:51:12,2,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
148499,6/30/2023,7:52:13,1,5,Lower Manhattan,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
148500,6/30/2023,7:52:13,1,5,Lower Manhattan,21,13.33,Packaged Chocolate,Drinking Chocolate,Chili Mayan
148501,6/30/2023,7:53:46,3,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm
148502,6/30/2023,7:53:46,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti
148503,6/30/2023,7:54:00,1,5,Lower Manhattan,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
148504,6/30/2023,7:54:00,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant
148505,6/30/2023,7:56:23,3,5,Lower Manhattan,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm
148506,6/30/2023,7:57:50,2,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
148507,6/30/2023,7:58:30,2,3,Astoria,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
148508,6/30/2023,7:58:58,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
148509,6/30/2023,7:58:58,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,Scottish Cream Scone 
148510,6/30/2023,7:59:41,3,5,Lower Manhattan,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
148511,6/30/2023,7:59:43,1,5,Lower Manhattan,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg
148512,6/30/2023,8:00:10,1,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
148513,6/30/2023,8:00:10,1,5,Lower Manhattan,73,3.75,Bakery,Pastry,Almond Croissant
148514,6/30/2023,8:01:28,3,5,Lower Manhattan,50,2.5,Tea,Brewed Black tea,Earl Grey Rg
148515,6/30/2023,8:02:36,1,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
148516,6/30/2023,8:02:55,2,3,Astoria,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
148517,6/30/2023,8:02:57,1,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
148518,6/30/2023,8:02:57,1,5,Lower Manhattan,74,3.5,Bakery,Biscotti,Ginger Biscotti
148519,6/30/2023,8:03:19,1,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
148520,6/30/2023,8:03:22,1,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
148521,6/30/2023,8:03:41,2,3,Astoria,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
148522,6/30/2023,8:03:41,1,3,Astoria,71,3.75,Bakery,Pastry,Chocolate Croissant
148523,6/30/2023,8:03:44,1,3,Astoria,71,3.75,Bakery,Pastry,Chocolate Croissant
148524,6/30/2023,8:05:37,1,3,Astoria,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
148525,6/30/2023,8:06:09,2,8,Hell's Kitchen,37,3,Coffee,Barista Espresso,Espresso shot
148526,6/30/2023,8:06:09,2,8,Hell's Kitchen,64,0.8,Flavours,Regular syrup,Hazelnut syrup
148527,6/30/2023,8:07:43,3,5,Lower Manhattan,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
148528,6/30/2023,8:07:43,2,8,Hell's Kitchen,51,3,Tea,Brewed Black tea,Earl Grey Lg
148529,6/30/2023,8:08:50,2,8,Hell's Kitchen,37,3,Coffee,Barista Espresso,Espresso shot
148530,6/30/2023,8:08:50,2,8,Hell's Kitchen,65,0.8,Flavours,Sugar free syrup,Sugar Free Vanilla syrup
148531,6/30/2023,8:09:10,2,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
148532,6/30/2023,8:10:33,2,8,Hell's Kitchen,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
148533,6/30/2023,8:10:33,1,8,Hell's Kitchen,75,3.5,Bakery,Pastry,Croissant
148534,6/30/2023,8:11:38,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
148535,6/30/2023,8:12:13,2,8,Hell's Kitchen,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm
148536,6/30/2023,8:12:51,3,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
148537,6/30/2023,8:12:54,2,3,Astoria,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
148538,6/30/2023,8:12:56,1,3,Astoria,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
148539,6/30/2023,8:12:56,1,3,Astoria,77,3,Bakery,Scone,Oatmeal Scone
148540,6/30/2023,8:12:57,1,5,Lower Manhattan,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
148541,6/30/2023,8:12:57,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant
148542,6/30/2023,8:13:47,2,3,Astoria,41,4.25,Coffee,Barista Espresso,Cappuccino Lg
148543,6/30/2023,8:13:47,1,3,Astoria,84,0.8,Flavours,Regular syrup,Chocolate syrup
148544,6/30/2023,8:13:55,2,5,Lower Manhattan,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
148545,6/30/2023,8:13:55,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone
148546,6/30/2023,8:13:56,2,3,Astoria,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm
148547,6/30/2023,8:14:08,1,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
148548,6/30/2023,8:14:16,1,3,Astoria,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
148549,6/30/2023,8:14:41,2,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg
148550,6/30/2023,8:14:57,2,3,Astoria,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
148551,6/30/2023,8:15:41,1,3,Astoria,40,3.75,Coffee,Barista Espresso,Cappuccino
148552,6/30/2023,8:15:41,1,3,Astoria,71,3.75,Bakery,Pastry,Chocolate Croissant
148553,6/30/2023,8:15:41,1,3,Astoria,40,3.75,Coffee,Barista Espresso,Cappuccino
148554,6/30/2023,8:15:41,1,3,Astoria,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
148555,6/30/2023,8:15:41,1,3,Astoria,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
148556,6/30/2023,8:15:41,1,3,Astoria,39,4.25,Coffee,Barista Espresso,Latte Rg
148557,6/30/2023,8:15:47,1,3,Astoria,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
148558,6/30/2023,8:15:48,2,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg
148559,6/30/2023,8:15:48,2,8,Hell's Kitchen,84,0.8,Flavours,Regular syrup,Chocolate syrup
148560,6/30/2023,8:15:48,1,8,Hell's Kitchen,79,3.75,Bakery,Scone,Jumbo Savory Scone
148561,6/30/2023,8:16:41,2,3,Astoria,51,3,Tea,Brewed Black tea,Earl Grey Lg
148562,6/30/2023,8:16:41,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant
148563,6/30/2023,8:16:41,3,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
148564,6/30/2023,8:16:53,3,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg
148565,6/30/2023,8:17:19,2,8,Hell's Kitchen,37,3,Coffee,Barista Espresso,Espresso shot
148566,6/30/2023,8:17:19,2,8,Hell's Kitchen,63,0.8,Flavours,Regular syrup,Carmel syrup
148567,6/30/2023,8:17:41,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte
148568,6/30/2023,8:17:41,2,8,Hell's Kitchen,64,0.8,Flavours,Regular syrup,Hazelnut syrup
148569,6/30/2023,8:17:51,1,3,Astoria,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
148570,6/30/2023,8:18:07,1,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot
148571,6/30/2023,8:18:07,1,5,Lower Manhattan,65,0.8,Flavours,Sugar free syrup,Sugar Free Vanilla syrup
148572,6/30/2023,8:18:22,1,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg
148573,6/30/2023,8:18:26,2,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
148574,6/30/2023,8:18:40,2,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg
148575,6/30/2023,8:19:01,1,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg
148576,6/30/2023,8:19:20,2,3,Astoria,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm
148577,6/30/2023,8:19:25,1,8,Hell's Kitchen,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
148578,6/30/2023,8:20:16,1,3,Astoria,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg
148579,6/30/2023,8:20:50,1,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
148580,6/30/2023,8:20:52,1,5,Lower Manhattan,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg
148581,6/30/2023,8:20:56,1,8,Hell's Kitchen,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
148582,6/30/2023,8:21:13,1,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
148583,6/30/2023,8:21:42,1,3,Astoria,73,3.75,Bakery,Pastry,Almond Croissant
148584,6/30/2023,8:23:04,2,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
148585,6/30/2023,8:23:17,2,8,Hell's Kitchen,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
148586,6/30/2023,8:23:47,2,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
148587,6/30/2023,8:23:47,1,8,Hell's Kitchen,6,21,Coffee beans,Gourmet Beans,Ethiopia
148588,6/30/2023,8:23:59,1,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
148589,6/30/2023,8:23:59,1,3,Astoria,83,14,Branded,Housewares,I Need My Bean! Latte cup
148590,6/30/2023,8:24:25,2,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
148591,6/30/2023,8:24:38,2,3,Astoria,40,3.75,Coffee,Barista Espresso,Cappuccino
148592,6/30/2023,8:24:38,1,3,Astoria,65,0.8,Flavours,Sugar free syrup,Sugar Free Vanilla syrup
148593,6/30/2023,8:24:48,2,3,Astoria,39,4.25,Coffee,Barista Espresso,Latte Rg
148594,6/30/2023,8:25:12,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant
148595,6/30/2023,8:25:25,1,3,Astoria,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
148596,6/30/2023,8:25:25,1,3,Astoria,14,8.95,Loose Tea,Black tea,Earl Grey
148597,6/30/2023,8:25:52,1,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
148598,6/30/2023,8:26:46,1,3,Astoria,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
148599,6/30/2023,8:27:43,1,3,Astoria,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg
148600,6/30/2023,8:27:44,2,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte
148601,6/30/2023,8:27:52,1,8,Hell's Kitchen,26,3,Coffee,Organic brewed coffee,Brazilian Rg
148602,6/30/2023,8:28:34,1,8,Hell's Kitchen,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
148603,6/30/2023,8:29:19,2,3,Astoria,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
148604,6/30/2023,8:29:29,2,8,Hell's Kitchen,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm
148605,6/30/2023,8:29:29,1,8,Hell's Kitchen,73,3.75,Bakery,Pastry,Almond Croissant
148606,6/30/2023,8:29:30,2,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg
148607,6/30/2023,8:31:24,2,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg
148608,6/30/2023,8:31:24,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,Scottish Cream Scone 
148609,6/30/2023,8:32:08,1,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
148610,6/30/2023,8:32:29,1,8,Hell's Kitchen,51,3,Tea,Brewed Black tea,Earl Grey Lg
148611,6/30/2023,8:32:34,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
148612,6/30/2023,8:32:34,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti
148613,6/30/2023,8:32:35,2,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
148614,6/30/2023,8:33:19,1,5,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg
148615,6/30/2023,8:33:50,1,5,Lower Manhattan,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
148616,6/30/2023,8:33:50,1,5,Lower Manhattan,78,4.5,Bakery,Scone,Scottish Cream Scone 
148617,6/30/2023,8:34:46,1,3,Astoria,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
148618,6/30/2023,8:35:54,1,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg
148619,6/30/2023,8:35:56,1,5,Lower Manhattan,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
148620,6/30/2023,8:36:03,1,8,Hell's Kitchen,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
148621,6/30/2023,8:36:47,1,3,Astoria,26,3,Coffee,Organic brewed coffee,Brazilian Rg
148622,6/30/2023,8:36:51,3,5,Lower Manhattan,87,3,Coffee,Barista Espresso,Ouro Brasileiro shot
148623,6/30/2023,8:36:55,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino
148624,6/30/2023,8:36:55,2,8,Hell's Kitchen,84,0.8,Flavours,Regular syrup,Chocolate syrup
148625,6/30/2023,8:36:55,1,8,Hell's Kitchen,73,3.75,Bakery,Pastry,Almond Croissant
